user_id,sex,bdate,city,age
1528207,Женский,19.5,Москва,
2430457,Женский,1.3,Санкт-Петербург,
2899174,Женский,Неизвестно,Unknown,
3703873,Женский,3.8.1977,Абакан,47.0
3874778,Женский,Неизвестно,Москва,
4495887,Мужской,27.3,Санкт-Петербург,
7635820,Женский,Неизвестно,Санкт-Петербург,
8926593,Женский,2.7,Елабуга,
9864779,Женский,7.11,Москва,
10467958,Женский,14.7.1988,Москва,36.0
11801595,Женский,13.5.1982,Алексеевское,42.0
12423778,Женский,3.2.1993,Unknown,32.0
14073593,Женский,Неизвестно,Тюмень,
15893808,Женский,Неизвестно,Unknown,
16624761,Женский,Неизвестно,Москва,
20000805,Женский,14.4,Тула,
21768206,Женский,Неизвестно,Москва,
25056625,Женский,7.6,Омск,
26378973,Женский,Неизвестно,Калининград,
26753610,Женский,3.5.1993,Санкт-Петербург,31.0
26843546,Женский,15.9.1986,Арзамас,38.0
30026125,Женский,16.12,Unknown,
30147867,Мужской,Неизвестно,Чебоксары,
30575788,Женский,24.1.1986,Москва,39.0
31199198,Женский,26.4,Unknown,
34213753,Женский,24.12,Алматы,
34559063,Женский,24.10,Belgrade,
42542790,Женский,Неизвестно,Unknown,
42691165,Женский,13.9.1981,Казань,43.0
44015959,Мужской,25.2.1980,Москва,45.0
44379381,Мужской,13.12,Томск,
51435536,Женский,Неизвестно,Unknown,
52447709,Женский,1.4.1992,Набережные Челны,32.0
53333245,Женский,10.6.1993,Алатырь,31.0
54371186,Женский,Неизвестно,Кишинев,
56354160,Женский,24.5.2000,Губаха,24.0
56721352,Женский,Неизвестно,Санкт-Петербург,
57218014,Мужской,20.10,Молодогвардейск,
57865836,Женский,2.8,Семилуки,
58592705,Женский,13.6.1988,Днепр (Днепропетровск),36.0
62605274,Женский,17.12,Йошкар-Ола,
62810359,Женский,Неизвестно,Казань,
62880732,Женский,28.4,Астрахань,
63400451,Женский,5.3.1977,Москва,48.0
63801843,Женский,Неизвестно,Москва,
66244393,Женский,Неизвестно,Москва,
67660306,Женский,2.11.1985,Черлак,39.0
68334622,Женский,26.6.1986,Unknown,38.0
69275101,Женский,21.11,Unknown,
70307574,Женский,Неизвестно,Unknown,
71191580,Женский,23.4.1998,Череповец,26.0
71249471,Женский,10.1,Северодвинск,
74723930,Женский,10.8,Красноярск,
77885115,Женский,24.9.1991,Новосибирск,33.0
78346762,Женский,27.3.1989,Рыбинск,35.0
80172830,Женский,28.5,Тольятти,
82569341,Женский,1.9,Новочебоксарск,
82916333,Женский,Неизвестно,Котлас,
85097034,Мужской,12.11,Самара,
85861262,Женский,28.2.1986,Ноябрьск,39.0
86680905,Женский,18.6.1991,Белорецк,33.0
90250130,Женский,Неизвестно,Unknown,
96773848,Женский,5.7,Лобня,
96825282,Женский,16.1.1989,Кирово-Чепецк,36.0
97196186,Женский,25.7.1988,Озерск,36.0
100894989,Женский,Неизвестно,Самарканд,
103441658,Женский,5.1.1984,Санкт-Петербург,41.0
104513464,Женский,Неизвестно,Казань,
104518671,Женский,11.5.1986,Набережные Челны,38.0
114118712,Женский,11.3,Unknown,
