user_id,sex,bdate,city
1528207,2,19.5,Москва
2430457,2,1.3,Санкт-Петербург
2899174,2,,Unknown
3703873,2,3.8.1977,Абакан
3874778,2,,Москва
4495887,1,27.3,Санкт-Петербург
7635820,2,,Санкт-Петербург
8926593,2,2.7,Елабуга
9864779,2,7.11,Москва
10467958,2,14.7.1988,Москва
11801595,2,13.5.1982,Алексеевское
12423778,2,3.2.1993,Unknown
14073593,2,,Тюмень
15893808,2,,Unknown
16624761,2,,Москва
20000805,2,14.4,Тула
21768206,2,,Москва
25056625,2,7.6,Омск
26378973,2,,Калининград
26753610,2,3.5.1993,Санкт-Петербург
26843546,2,15.9.1986,Арзамас
30026125,2,16.12,Unknown
30147867,1,,Чебоксары
30575788,2,24.1.1986,Москва
31199198,2,26.4,Unknown
34213753,2,24.12,Алматы
34559063,2,24.10,Belgrade
42542790,2,,Unknown
42691165,2,13.9.1981,Казань
44015959,1,25.2.1980,Москва
44379381,1,13.12,Томск
51435536,2,,Unknown
52447709,2,1.4.1992,Набережные Челны
53333245,2,10.6.1993,Алатырь
54371186,2,,Кишинев
56354160,2,24.5.2000,Губаха
56721352,2,,Санкт-Петербург
57218014,1,20.10,Молодогвардейск
57865836,2,2.8,Семилуки
58592705,2,13.6.1988,Днепр (Днепропетровск)
62605274,2,17.12,Йошкар-Ола
62810359,2,,Казань
62880732,2,28.4,Астрахань
63400451,2,5.3.1977,Москва
63801843,2,,Москва
66244393,2,,Москва
67660306,2,2.11.1985,Черлак
68334622,2,26.6.1986,Unknown
69275101,2,21.11,Unknown
70307574,2,,Unknown
71191580,2,23.4.1998,Череповец
71249471,2,10.1,Северодвинск
74723930,2,10.8,Красноярск
77885115,2,24.9.1991,Новосибирск
78346762,2,27.3.1989,Рыбинск
80172830,2,28.5,Тольятти
82569341,2,1.9,Новочебоксарск
82916333,2,,Котлас
85097034,1,12.11,Самара
85861262,2,28.2.1986,Ноябрьск
86680905,2,18.6.1991,Белорецк
90250130,2,,Unknown
96773848,2,5.7,Лобня
96825282,2,16.1.1989,Кирово-Чепецк
97196186,2,25.7.1988,Озерск
100894989,2,,Самарканд
103441658,2,5.1.1984,Санкт-Петербург
104513464,2,,Казань
104518671,2,11.5.1986,Набережные Челны
114118712,2,11.3,Unknown
114801951,1,2.1.1989,Unknown
117507045,1,1.3.1987,Красноярск
117713101,2,4.5,Кулой
118948436,2,5.4.1982,Курган
120016842,2,,Симферополь
121781614,2,,Нижний Тагил
128056762,2,,Москва
132096592,2,2.8,Сергиев Посад
132284715,2,24.1,Нижний Новгород
133013796,2,9.8.1992,Красное Село
133867197,2,12.2,Казань
135570604,2,,Тобольск
136029966,2,,Красноярск
136096781,2,31.12,Санкт-Петербург
136504616,1,26.5.1998,Unknown
136713720,2,21.11,Петропавловск-Камчатский
137760323,2,3.3,Unknown
138733202,2,,Unknown
141276085,2,,Минск
142677617,2,18.11,Мурманск
143052187,2,,Невельск
143101625,2,,Unknown
143531917,2,31.3,Пинск
144533506,2,24.9.1978,Набережные Челны
145268578,2,21.8,Челябинск
146363288,2,,Нижний Новгород
147253850,2,13.1.1987,Санкт-Петербург
147434017,2,,Unknown
147554224,2,13.11,Москва
150816305,2,4.5,Иркутск
151405223,2,10.5,Чебоксары
151686827,2,29.1.1972,Оренбург
151740369,2,27.9.1960,Москва
152657184,2,4.8,Мурманск
153229913,2,,Якутск
153636594,2,28.5.1978,Санкт-Петербург
154718024,2,,Челябинск
154819681,2,31.8.1994,Иркутск
158045144,2,13.12.1995,Москва
159387898,2,1.5.1982,Карабаново
159870727,2,,Алматы
160576052,2,,Хабаровск
162796884,2,31.1.1989,Воронеж
164044381,2,5.5.1983,Unknown
164157137,2,27.4,Биробиджан
164530830,2,,Unknown
164860968,2,27.9.1988,Оренбург
165084914,2,26.8.1978,Енакиево
168017102,2,5.9.1981,Unknown
168138328,2,5.5,Мариуполь
169452052,2,30.10.1990,Unknown
169885813,2,18.8,Санкт-Петербург
170705035,2,,Unknown
174313153,2,,Кондопога
174772841,2,7.6,Сергач
174947931,2,14.2,Москва
175319029,2,7.6.1982,Alexandria
176144014,2,13.12.1979,Губкин
177364596,2,,Unknown
177505276,2,,Москва
177739238,2,26.9.1986,Санкт-Петербург
178246313,2,12.9.1987,Unknown
179433351,2,15.1.1955,Балай
180601902,2,16.8.1988,Подольск
181302640,2,4.3.1988,Мишкино
181804504,2,,Unknown
184464000,2,25.4.1997,Москва
184983440,2,17.11.1983,Красноярск
186824908,2,,Bairnsdale
187150722,2,26.3.1987,Пермь
187358388,2,9.9.1985,Санкт-Петербург
187590595,2,15.1.1984,Чита
189445452,2,15.3.1982,Казань
191797860,2,2.8.1958,Айхал
193361947,2,,Unknown
194132130,2,13.2.1986,Липецк
194468037,2,1.3.1988,Донецк
194487332,2,25.2.1994,Коломна
196213783,2,1.1.1975,İstanbul
196678735,1,8.3.1990,Unknown
196869132,2,14.1,Обручевка
201773517,2,,Велиж
203716077,2,7.7.1999,Пермь
204296806,2,12.2.1982,Баку
205431091,2,6.4.1979,Томск
205919413,2,11.4.1984,Нижнекамск
206627250,2,5.3.1974,Тверь
206773861,2,19.11,Зерноград
207173783,2,12.9.1995,Коканд
207322483,2,24.6,Уфа
209879396,2,28.4.1971,Брянск
